ArticleID;Type;Title;PageStart;PageEnd;State;Author1LastName;Author1FirstName;Author1Contact;Author1Inst;Abstract;Keyword1;Keyword2;Keyword3;File;LicenseFile;Event;Year;Acronym;Author2LastName;Author2FirstName;Author2Contact;Author2Inst;Author3LastName;Author3FirstName;Author3Contact;Author3Inst;Author4LastName;Author4FirstName;Author4Contact;Author4Inst;Author5LastName;Author5FirstName;Author5Contact;Author5Inst;Author6LastName;Author6FirstName;Author6Contact;Author6Inst
0;Cover;Cover;1;1;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;00-Cover.pdf;00-Cover-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
1;FrontMatter;FrontMatter;3;3;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;01-FrontMatter.pdf;01-FrontMatter-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
2;Preface;Preface;5;7;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;02-Preface.pdf;02-Preface-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
3;Committees Sponsors;Committees and Sponsors;9;14;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;03-Committees Sponsors.pdf;03-Committees Sponsors-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
4;Table of Contents;Table of Contents;15;16;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;04-Table of Contents.pdf;04-Table of Contents-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
5;Keynotes;Keynotes;19;20;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;05-Keynotes.pdf;05-Keynotes-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
6;Section;Interaction Design;21;21;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;06-Section.pdf;06-Section-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
7;Article;Escultura Présence: um sistema tridimensional de interação sonoro-corporal;22;30;Por processar;Quintas;Rudolfo;luis2xx3+7-1@gmail.com;Centro de Investigação em Artes e Comunicação, Universidade Aberta;Este artigo descreve o sistema que suporta a escultura Présence, trata-se de um sistema composto por uma aplicação de captura de movimento tridimensional (Localização 3D) e uma aplicação de som que possibilita uma experiência sonora interativa e imersiva através da expressão corporal. O sistema foi desenvolvido para ser utilizado por um público geral, heterogéneo, não especializado quer em tecnologia ou composição sonora. Os utilizadores colocam uns auscultadores sem fios e quando entram numa determinada área sensível iniciam a audição de uma composição sonora criada pelo movimento do seu próprio corpo. Esta composição permanece em constante modelação e organização de acordo com o movimento do utilizador no espaço. Este funcionamento ocorre através da leitura de um conjunto de posições tridimensionais do corpo do utilizador mapeados como parâmetros de controlo para um conjunto de geradores de som. O sistema foi testado em sete exposições públicas no qual participaram e interagiram mais de 500 pessoas comprovando a flexibilidade e expressividade sonora do sistema.;Interfaces Naturais;Captura de Movimento 3D;KINECT;07-Article.pdf;07-Article-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;Marcos;Adérito;luis2xx3+7-2@gmail.com;Centro de Investigação em Artes e Comunicação, Universidade Aberta;Tavares;Mirian;luis2xx3+7-3@gmail.com;Universidade do Algarve;;;;;;;;;;;;
8;Article;Design de Funções Transferência para Imagens Médicas 3D recorrendo a uma Interface baseada em Esboços;31;37;Por processar;Parreira;Pedro F.;luis2xx3+8-1@gmail.com;IST;The visual quality of volume rendering images and the contrast between different anatomical structures strongly depends on the type of transfer function that is applied by the volume renderer. While conventional windowicon-menu-pointer approaches refer the user to apply pre-defined transfer functions for isolating specific tissues, these are not always desirable for many clinical and surgical scenarios. This leaves the user with the tedious and time consuming task of manual transfer function design. In order to make this task more natural, we propose a sketch-based interface where touch gestures are used to directly control voxel opacity and colour. We also present new transfer function design approaches that aim to reduce the number of trial and error iterations, which usually are necessary for finding appropriate transfer functions. By following our approach, users were able to more rapidly explore and understand volume data, as the number iterations necessary to obtain a desirable transfer function where reduced. For both transfer function design and volume manipulation tasks users responded more favourably to our sketch-based interface when compared to standard mouse and keyboard controls, as the former approach promotes reduced design iterations and improve the user’s overall understanding of the data.;Transfer Function;Volume Rendering;3D Medical Images;08-Article.pdf;08-Article-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;Mendes;Ana R.;luis2xx3+8-2@gmail.com;IST;Lopes;Daniel Simões;luis2xx3+8-3@gmail.com;INESC-ID;Jorge;Joaquim A.;luis2xx3+8-4@gmail.com;INESC-ID;;;;;;;;
12;Section;Virtual, Mixed and Augmented Reality;57;57;Por processar;Menezes;Paulo ;luis2xx3+0@gmail.com;ISR - U Coimbra;;;;;12-Section.pdf;12-Section-EG-CC-BY.pdf;22o Encontro Português de Computação Gráfica e Interação;2015;EPCGI2015-T;;;;;;;;;;;;;;;;;;;;
